CRASH DATE,CRASH TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,COLLISION_ID,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5,Year
2013-06-10,11:20,QUEENS,11385.0,40.7045623,-73.856731,"(40.7045623, -73.856731)",WOODHAVEN BOULEVARD             ,81 ROAD                         ,,0.0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,,,,216656,OTHER,SPORT UTILITY / STATION WAGON,,,,2013
2013-05-21,8:40,MANHATTAN,10029.0,40.7972603,-73.9405186,"(40.7972603, -73.9405186)",EAST 115 STREET                 ,3 AVENUE                        ,,1.0,0.0,0,0,0,0,1,0,Unspecified,Unspecified,,,,56523,OTHER,UNKNOWN,,,,2013
2013-05-19,14:00,BROOKLYN,11216.0,40.6850475,-73.954248,"(40.6850475, -73.954248)",BEDFORD AVENUE                  ,MONROE STREET                   ,,0.0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,,,,181076,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,2013
2013-05-29,12:30,MANHATTAN,10018.0,40.7583388,-73.9964084,"(40.7583388, -73.9964084)",10 AVENUE                       ,WEST 40 STREET                  ,,0.0,0.0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Lost Consciousness,,,,19184,BUS,OTHER,,,,2013
2013-05-18,19:20,BRONX,10457.0,40.8496424,-73.8965981,"(40.8496424, -73.8965981)",WASHINGTON AVENUE               ,EAST 179 STREET                 ,,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,101324,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,2013
2013-06-01,22:00,,,,,,,,,1.0,0.0,0,0,0,0,1,0,Unspecified,Unspecified,Unspecified,,,3122576,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,,,2013
2013-05-23,15:48,MANHATTAN,10013.0,40.7225499,-74.006299,"(40.7225499, -74.006299)",CANAL STREET                    ,VARICK STREET                   ,,0.0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,,,,2741,VAN,VAN,,,,2013
2013-05-30,9:45,BRONX,10460.0,40.8394882,-73.8657972,"(40.8394882, -73.8657972)",THIERIOT AVENUE                 ,GUERLAIN STREET                 ,,0.0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,,,,83076,SMALL COM VEH(4 TIRES) ,LIVERY VEHICLE,,,,2013
2013-06-09,21:30,QUEENS,11411.0,40.6909168,-73.7281786,"(40.6909168, -73.7281786)",234 STREET                      ,LINDEN BOULEVARD                ,,0.0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,,,,224003,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,,2013
2013-06-04,13:00,MANHATTAN,10013.0,40.7175957,-73.9963277,"(40.7175957, -73.9963277)",HESTER STREET                   ,ELIZABETH STREET                ,,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,7552,VAN,SPORT UTILITY / STATION WAGON,,,,2013
2013-06-04,6:30,QUEENS,11101.0,40.73887,-73.9328412,"(40.73887, -73.9328412)",49 AVENUE                       ,33 STREET                       ,,0.0,0.0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,242383,PICK-UP TRUCK,PASSENGER VEHICLE,,,,2013
2013-05-22,7:25,MANHATTAN,10029.0,40.7896858,-73.9481452,"(40.7896858, -73.9481452)",LEXINGTON AVENUE                ,EAST 102 STREET                 ,,2.0,0.0,0,0,0,0,2,0,Unspecified,Unspecified,,,,56526,OTHER,PASSENGER VEHICLE,,,,2013
2013-05-30,10:00,,,,,,WEST STREET                     ,CANAL STREET                    ,,2.0,0.0,0,0,0,0,2,0,Turning Improperly,Fatigued/Drowsy,Fatigued/Drowsy,,,2803,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,2013
2013-05-20,16:00,QUEENS,11355.0,40.75933,-73.8259671,"(40.75933, -73.8259671)",41 AVENUE                       ,UNION STREET                    ,,0.0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,,,,250398,TAXI,PASSENGER VEHICLE,,,,2013
2013-06-09,22:50,BROOKLYN,11213.0,40.6698918,-73.9337974,"(40.6698918, -73.9337974)",SCHENECTADY AVENUE              ,LINCOLN PLACE                   ,,0.0,0.0,0,0,0,0,0,0,Lost Consciousness,Unspecified,,,,174253,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,,2013
2013-06-01,21:05,MANHATTAN,10026.0,40.8019159,-73.9534778,"(40.8019159, -73.9534778)",WEST 114 STREET                 ,7 AVENUE                        ,,0.0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,,,,64336,PASSENGER VEHICLE,UNKNOWN,,,,2013
